iter	Passed	Remaining
562	45157	35050
563	45226	34962
564	45283	34864
565	45343	34768
566	45418	34684
567	45479	34590
568	45544	34498
569	45616	34412
570	45685	34323
571	45753	34235
572	45821	34146
573	45893	34060
574	45959	33970
575	46019	33875
576	46085	33785
577	46155	33698
578	46220	33607
579	46284	33516
580	46365	33437
581	46432	33348
582	46488	33251
583	46556	33163
584	46642	33088
585	46709	32999
586	46787	32918
587	46868	32839
588	46946	32758
589	47024	32678
590	47103	32597
591	47187	32521
592	47288	32456
593	47364	32374
594	47432	32285
595	47495	32194
596	47565	32108
597	47641	32026
598	47723	31948
599	47792	31861
600	47873	31782
601	47960	31707
602	48027	31619
603	48093	31531
604	48165	31446
605	48238	31362
606	48299	31271
607	48375	31189
608	48438	31099
609	48510	31015
610	48584	30932
611	48645	30840
612	48710	30752
613	48779	30665
614	48842	30576
615	48919	30495
616	49088	30471
617	49223	30426
618	49317	30355
619	49400	30277
620	49481	30198
621	49568	30123
622	49652	30046
623	49735	29968
624	49816	29889
625	49886	29804
626	49961	29722
627	50049	29647
628	50124	29564
629	50199	29482
630	50284	29405
631	50359	29322
632	50434	29241
633	50523	29166
634	50605	29088
635	50700	29017
636	50827	28964
637	51022	28950
638	51151	28897
639	51258	28832
640	51357	28763
641	51446	28688
642	51551	28622
643	51637	28545
644	51718	28465
645	51798	28384
646	51865	28297
647	51938	28213
648	52028	28138
649	52109	28059
650	52187	27977
651	52258	27892
652	52325	27805
653	52407	27726
654	52482	27643
655	52548	27555
656	52634	27478
657	52703	27392
658	52780	27311
659	52898	27250
660	53015	27189
661	53108	27115
662	53199	27041
663	53276	26959
664	53367	26884
665	53444	26802
666	53504	26712
667	53581	26630
668	53678	26558
669	53750	26474
670	53825	26391
671	53918	26317
672	54001	26238
673	54071	26153
674	54149	26071
675	54235	25994
676	54329	25920
677	54401	25836
678	54463	25747
679	54524	25658
680	54599	25576
681	54671	25491
682	54733	25403
683	54796	25315
684	54862	25228
685	54933	25144
686	54993	25055
687	55064	24970
688	55132	24885
689	55193	24797
690	55255	24709
691	55323	24623
692	55383	24534
693	55441	24445
694	55506	24358
695	55582	24277
696	55647	24190
697	55708	24103
698	55773	24017
699	55837	23930
700	55900	23843
701	55963	23756
702	56028	23670
703	56087	23582
704	56147	23494
705	56209	23407
706	56274	23321
707	56335	23234
708	56405	23150
709	56490	23073
710	56551	22986
711	56618	22901
712	56695	22821
713	56755	22733
714	56831	22653
715	56893	22566
716	56967	22485
717	57038	22402
718	57103	22317
719	57171	22233
720	57240	22149
721	57321	22071
722	57386	21986
723	57464	21906
724	57521	21818
725	57591	21735
726	57664	21653
727	57729	21569
728	57788	21482
729	57856	21398
730	57924	21315
731	57985	21229
732	58051	21145
733	58108	21058
734	58176	20975
735	58242	20891
736	58302	20805
737	58363	20719
738	58440	20639
739	58508	20557
740	58576	20474
741	58641	20390
742	58705	20305
743	58767	20221
744	58835	20138
745	58906	20056
746	58969	19972
747	59038	19890
748	59106	19807
749	59171	19723
750	59238	19641
751	59293	19554
752	59371	19475
753	59438	19392
754	59499	19307
755	59572	19227
756	59634	19142
757	59694	19058
758	59769	18978
759	59834	18895
760	59908	18814
761	59975	18732
762	60048	18651
763	60121	18571
764	60194	18491
765	60254	18406
766	60308	18320
767	60367	18236
768	60431	18152
769	60494	18069
770	60566	17989
771	60632	17906
772	60703	17826
773	60775	17745
774	60839	17662
775	60910	17582
776	60988	17503
777	61056	17422
778	61128	17341
779	61196	17260
780	61257	17177
781	61322	17095
782	61389	17013
783	61444	16928
784	61512	16847
785	61574	16764
786	61637	16682
787	61699	16599
788	61757	16515
789	61818	16432
790	61886	16351
791	61957	16271
792	62023	16190
793	62077	16105
794	62133	16021
795	62204	15941
796	62276	15862
797	62337	15779
798	62389	15695
799	62449	15612
800	62522	15533
801	62580	15450
802	62637	15366
803	62692	15283
804	62760	15202
805	62840	15125
806	62906	15044
807	62971	14963
808	63038	14883
809	63106	14802
810	63168	14721
811	63228	14639
812	63288	14557
813	63347	14474
814	63414	14394
815	63473	14312
816	63551	14234
817	63611	14153
818	63680	14073
819	63741	13991
820	63813	13913
821	63874	13831
822	63935	13750
823	63994	13668
824	64061	13588
825	64123	13507
826	64191	13428
827	64250	13346
828	64320	13267
829	64383	13186
830	64447	13106
831	64500	13024
832	64560	12943
833	64614	12860
834	64678	12780
835	64752	12702
836	64837	12626
837	64902	12546
838	64970	12467
839	65024	12385
840	65086	12305
841	65153	12225
842	65214	12145
843	65278	12065
844	65350	11987
845	65406	11906
846	65476	11827
847	65539	11747
848	65605	11668
849	65659	11587
850	65730	11508
851	65798	11429
852	65870	11351
853	65940	11273
854	66007	11194
855	66069	11114
856	66131	11034
857	66188	10954
858	66250	10874
859	66324	10796
860	66388	10717
861	66458	10639
862	66523	10560
863	66599	10483
864	66663	10404
865	66735	10326
866	66803	10247
867	66865	10168
868	66929	10089
869	67010	10013
870	67068	9933
871	67125	9853
872	67193	9774
873	67276	9698
874	67350	9621
875	67407	9541
876	67468	9462
877	67527	9383
878	67580	9302
879	67646	9224
880	67723	9147
881	67784	9068
882	67845	8989
883	67908	8911
884	67979	8833
885	68045	8755
886	68116	8677
887	68171	8598
888	68234	8519
889	68308	8442
890	68368	8363
891	68450	8287
892	68529	8211
893	68585	8132
894	68654	8054
895	68721	7976
896	68780	7897
897	68840	7819
898	68895	7740
899	68962	7662
900	69026	7584
901	69094	7506
902	69152	7428
903	69222	7351
904	69288	7273
905	69351	7195
906	69419	7117
907	69481	7039
908	69547	6962
909	69611	6884
910	69672	6806
911	69733	6728
912	69792	6650
913	69850	6572
914	69907	6494
915	69980	6417
916	70046	6340
917	70110	6262
918	70176	6185
919	70235	6107
920	70300	6030
921	70357	5952
922	70417	5874
923	70488	5797
924	70551	5720
925	70622	5643
926	70689	5566
927	70761	5490
928	70826	5413
929	70883	5335
930	70953	5258
931	71011	5181
932	71084	5104
933	71170	5029
934	71244	4952
935	71314	4876
936	71380	4799
937	71443	4722
938	71509	4645
939	71571	4568
940	71637	4491
941	71711	4415
942	71784	4339
943	71840	4261
944	71916	4185
945	71997	4109
946	72060	4032
947	72124	3956
948	72216	3880
949	72291	3804
950	72384	3729
951	72466	3653
952	72542	3577
953	72607	3500
954	72657	3423
955	72722	3347
956	72809	3271
957	72877	3195
958	72946	3118
959	73012	3042
960	73089	2966
961	73163	2890
962	73237	2813
963	73305	2737
964	73385	2661
965	73474	2586
966	73544	2509
967	73615	2433
968	73679	2357
969	73754	2281
970	73832	2205
971	73903	2128
972	73972	2052
973	74051	1976
974	74128	1900
975	74196	1824
976	74289	1748
977	74372	1672
978	74451	1597
979	74521	1520
980	74593	1444
981	74670	1368
982	74755	1292
983	74820	1216
984	74901	1140
985	74975	1064
986	75055	988
987	75121	912
988	75189	836
989	75273	760
990	75351	684
991	75436	608
992	75518	532
993	75587	456
994	75662	380
995	75729	304
996	75907	228
997	75991	152
998	76050	76
999	76120	0
